Movie Title,Year,Twist Description,Predictability Score
Vertigo,2013,sdv-id-rUDDid,4
Coco,2009,sdv-id-ruqaio,4
Knives Out,1997,sdv-id-ldYbEz,4
Frozen,1986,sdv-id-aEvZwU,4
The Prestige,2012,sdv-id-DFXcFo,5
Arrival,2011,sdv-id-qKSnef,3
Arrival,2011,sdv-id-IBRrxA,4
Gone Baby Gone,1987,sdv-id-ZJlBiq,4
The Skeleton Key,2017,sdv-id-GWODok,7
Us,2008,sdv-id-dzPFMm,3
Parasite,2001,sdv-id-ofrMuj,3
Coco,2016,sdv-id-eOwcmN,5
Arrival,2012,sdv-id-RWOUJw,3
The Skeleton Key,2017,sdv-id-wNSRSm,3
Vertigo,1984,sdv-id-iwakRq,4
The Village,2014,sdv-id-nmhYIF,4
The Prestige,2003,sdv-id-oXyClB,3
Memento,2013,sdv-id-oPjCEw,4
Oldboy,1980,sdv-id-kPHDvI,3
The Invisible Guest,1987,sdv-id-PoqgGh,5
Gone Baby Gone,1977,sdv-id-MhBCcs,4
The Secret in Their Eyes,2015,sdv-id-GBoohM,5
The Village,2003,sdv-id-gAtqkb,3
Vertigo,1997,sdv-id-RsMHXd,3
Arrival,1972,sdv-id-XLqcCs,3
The Others,2019,sdv-id-UaohXS,4
Gone Baby Gone,2013,sdv-id-ghfCFg,3
Coco,2015,sdv-id-waNQVq,3
Oldboy,1984,sdv-id-LstJKJ,3
Knives Out,2018,sdv-id-bcjvyS,4
The Skeleton Key,1995,sdv-id-jrFwbP,4
Fight Club,2006,sdv-id-ztfwNu,5
Gone Girl,2001,sdv-id-jsJapw,4
The Invisible Guest,1981,sdv-id-BIbrgJ,4
Frozen,1980,sdv-id-UavUFZ,3
Gone Girl,1996,sdv-id-AqfCwt,3
The Skeleton Key,1968,sdv-id-dApmwR,6
Shutter Island,2005,sdv-id-fdOFNh,3
Primal Fear,2000,sdv-id-SszvdG,4
Vertigo,1975,sdv-id-bTUQCr,3
Gone Girl,2016,sdv-id-UUkZAu,4
Memento,1945,sdv-id-ytySLz,5
Arrival,2016,sdv-id-aYlBXI,4
The Sixth Sense,1984,sdv-id-YiqSeG,3
The Prestige,1973,sdv-id-mxeqOl,3
The Prestige,1970,sdv-id-mBYamb,3
Psycho,2016,sdv-id-eBoHOk,4
The Invisible Guest,2018,sdv-id-hiaVxr,5
Psycho,2016,sdv-id-SckmHZ,3
Memento,2001,sdv-id-MmazCh,3
Primal Fear,2018,sdv-id-jaEvQa,4
The Mist,1958,sdv-id-AFIfSv,3
Shutter Island,1981,sdv-id-xqumCc,4
Fight Club,2016,sdv-id-rOIAHm,3
The Prestige,2004,sdv-id-RcaNoC,3
Shutter Island,1987,sdv-id-aWLpCL,3
Identity,2003,sdv-id-EazHtO,4
Planet of the Apes,2018,sdv-id-OGxWBK,6
The Sixth Sense,1987,sdv-id-lTthov,3
The Skeleton Key,1996,sdv-id-xyfPlt,4
The Orphan,2019,sdv-id-ziLnrE,6
Planet of the Apes,1999,sdv-id-ayfCDp,3
Identity,2014,sdv-id-FaZtPS,3
The Prestige,2016,sdv-id-NVaynV,3
Fight Club,1989,sdv-id-hloTfu,3
The Invisible Guest,2015,sdv-id-kXfSyP,3
Inception,2010,sdv-id-yhUFjO,3
Saw,2007,sdv-id-xZVEcf,3
The Lady Vanishes,2015,sdv-id-mWilmz,5
Triangle,2013,sdv-id-zWvtpl,5
The Others,1962,sdv-id-hviqif,3
Oldboy,1995,sdv-id-kxyWxR,5
The Mist,2003,sdv-id-ADvRUx,5
The Invisible Guest,2014,sdv-id-tPMHgG,4
Identity,2015,sdv-id-yesgFY,4
The Orphan,1984,sdv-id-qPDHcU,3
The Mist,2010,sdv-id-vFIDPW,3
