id,filename,glyph_url,dominant_hex,dominant_rgb,dominant_lab,secondary_hex,secondary_rgb,secondary_lab,palette_distance,edge_density,entropy,texture,contrast,circularity,aspect_ratio,edge_angle,color_harmony,mood,created_date,created_time
5d9d3589,6d706d_272a2b_5d9d3589.png,https://cdn.jsdelivr.net/gh/dduyg/sandbox@main/glyphs/6d706d_272a2b_5d9d3589.png,6d706d,"[109, 112, 109]","[46.9, -1.76, 1.26]",272a2b,"[39, 42, 43]","[16.8, -1.08, -1.12]",0.302,0.3026,15.8397,3.0948,1.0,0.2726,5.1442,2.925,none,dramatic,2026-01-03,19:24:07
c16f4516,8a837d_534841_c16f4516.png,https://cdn.jsdelivr.net/gh/dduyg/sandbox@main/glyphs/8a837d_534841_c16f4516.png,8a837d,"[138, 131, 125]","[55.19, 1.52, 4.17]",534841,"[83, 72, 65]","[31.48, 3.33, 5.9]",0.2385,0.1394,14.3024,2.8021,0.8504,0.1702,1.0817,2.1792,analogous,dramatic,2026-01-03,19:24:07
a377cedc,a28d8c_c6b8b6_a377cedc.png,https://cdn.jsdelivr.net/gh/dduyg/sandbox@main/glyphs/a28d8c_c6b8b6_a377cedc.png,a28d8c,"[162, 141, 140]","[60.45, 7.7, 3.43]",c6b8b6,"[198, 184, 182]","[75.86, 4.61, 2.79]",0.1573,0.0642,14.6646,2.7059,0.8034,0.4045,0.2735,0.0,analogous,calm,2026-01-03,19:24:07
af1a3e58,34353a_9c6453_af1a3e58.png,https://cdn.jsdelivr.net/gh/dduyg/sandbox@main/glyphs/34353a_9c6453_af1a3e58.png,34353a,"[52, 53, 58]","[22.24, 0.78, -3.28]",9c6453,"[156, 100, 83]","[48.02, 20.61, 19.0]",0.3943,0.1199,15.6898,2.9297,0.9729,0.5462,0.9884,4.6669,triadic,mysterious,2026-01-03,19:24:07
c1b507bf,bdbdbd_828282_c1b507bf.png,https://cdn.jsdelivr.net/gh/dduyg/sandbox@main/glyphs/bdbdbd_828282_c1b507bf.png,bdbdbd,"[189, 189, 189]","[76.61, 0.0, -0.01]",828282,"[130, 130, 130]","[54.37, 0.0, -0.01]",0.2224,0.154,7.4577,2.9052,1.0,0.7827,0.9619,2.2605,analogous,dramatic,2026-01-03,19:24:08
f4823b25,a2a397_7b6e5b_f4823b25.png,https://cdn.jsdelivr.net/gh/dduyg/sandbox@main/glyphs/a2a397_7b6e5b_f4823b25.png,a2a397,"[162, 163, 151]","[66.6, -2.57, 6.1]",7b6e5b,"[123, 110, 91]","[47.13, 1.84, 12.46]",0.2096,0.1582,16.4583,3.0254,1.0,0.4491,0.8877,1.0678,analogous,dramatic,2026-01-03,19:24:10
f0cd849a,414142_1b1c1c_f0cd849a.png,https://cdn.jsdelivr.net/gh/dduyg/sandbox@main/glyphs/414142_1b1c1c_f0cd849a.png,414142,"[65, 65, 66]","[27.57, 0.23, -0.61]",1b1c1c,"[27, 28, 28]","[10.16, -0.47, -0.17]",0.1742,0.0447,10.2509,2.9195,1.0,0.1103,1.5175,28.2725,none,mysterious,2026-01-03,19:24:12
7ebf3205,353535_949494_7ebf3205.png,https://cdn.jsdelivr.net/gh/dduyg/sandbox@main/glyphs/353535_949494_7ebf3205.png,353535,"[53, 53, 53]","[22.16, 0.0, -0.0]",949494,"[148, 148, 148]","[61.32, 0.0, -0.01]",0.3916,0.282,7.1631,3.1768,1.0,0.8973,1.0027,42.8789,analogous,dramatic,2026-01-03,19:24:12
01188e60,706757_40382c_01188e60.png,https://cdn.jsdelivr.net/gh/dduyg/sandbox@main/glyphs/706757_40382c_01188e60.png,706757,"[112, 103, 87]","[43.99, 0.68, 10.32]",40382c,"[64, 56, 44]","[24.0, 1.26, 8.8]",0.2006,0.2076,14.6061,2.9194,0.9387,0.1837,0.5777,1.8609,analogous,dramatic,2026-01-03,19:24:13
1d4231bf,d5c2b7_91877d_1d4231bf.png,https://cdn.jsdelivr.net/gh/dduyg/sandbox@main/glyphs/d5c2b7_91877d_1d4231bf.png,d5c2b7,"[213, 194, 183]","[79.7, 4.87, 7.94]",91877d,"[145, 135, 125]","[56.91, 1.96, 6.72]",0.2301,0.1552,16.2488,3.1825,1.0,0.3,0.6893,8.2594,analogous,playful,2026-01-03,19:24:13
bd4184cb,e0ddde_887692_bd4184cb.png,https://cdn.jsdelivr.net/gh/dduyg/sandbox@main/glyphs/e0ddde_887692_bd4184cb.png,e0ddde,"[224, 221, 222]","[88.37, 1.2, -0.14]",887692,"[136, 118, 146]","[52.14, 12.46, -12.6]",0.3994,0.1657,16.724,2.792,0.9834,0.4499,0.781,3.5705,none,playful,2026-01-03,19:24:12
c31fc2e0,cbc9c5_827e7b_c31fc2e0.png,https://cdn.jsdelivr.net/gh/dduyg/sandbox@main/glyphs/cbc9c5_827e7b_c31fc2e0.png,cbc9c5,"[203, 201, 197]","[81.02, -0.03, 2.23]",827e7b,"[130, 126, 123]","[53.06, 0.93, 2.16]",0.2798,0.0959,13.695,2.4995,1.0,0.6011,1.4275,54.5634,analogous,dramatic,2026-01-03,19:24:13
02897902,6a8652_acaecb_02897902.png,https://cdn.jsdelivr.net/gh/dduyg/sandbox@main/glyphs/6a8652_acaecb_02897902.png,6a8652,"[106, 134, 82]","[52.65, -19.86, 24.81]",acaecb,"[172, 174, 203]","[71.79, 5.2, -14.94]",0.5074,0.0504,14.9563,2.7121,0.9604,0.6478,1.0692,1.0051,triadic,dramatic,2026-01-03,19:24:12
41607166,913b32_c59996_41607166.png,https://cdn.jsdelivr.net/gh/dduyg/sandbox@main/glyphs/913b32_c59996_41607166.png,913b32,"[145, 59, 50]","[36.7, 35.74, 23.83]",c59996,"[197, 153, 150]","[67.17, 15.97, 7.89]",0.3966,0.1017,17.3302,2.7118,1.0,0.3144,1.0749,0.6031,analogous,energetic,2026-01-03,19:24:14
68d6d4fe,8172b2_4a4276_68d6d4fe.png,https://cdn.jsdelivr.net/gh/dduyg/sandbox@main/glyphs/8172b2_4a4276_68d6d4fe.png,8172b2,"[129, 114, 178]","[51.74, 20.07, -31.9]",4a4276,"[74, 66, 118]","[31.02, 16.83, -28.7]",0.2121,0.0425,15.844,2.6362,0.8812,0.1494,0.7601,1.0051,analogous,playful,2026-01-03,19:24:15
9300e50f,53524f_1d1c1c_9300e50f.png,https://cdn.jsdelivr.net/gh/dduyg/sandbox@main/glyphs/53524f_1d1c1c_9300e50f.png,53524f,"[83, 82, 79]","[34.88, -0.22, 1.9]",1d1c1c,"[29, 28, 28]","[10.38, 0.48, 0.17]",0.2457,0.1012,13.2618,2.6423,0.9989,0.3538,0.9188,3.4239,none,dramatic,2026-01-03,19:24:16
9b58e52a,dbd7dc_a39da9_9b58e52a.png,https://cdn.jsdelivr.net/gh/dduyg/sandbox@main/glyphs/dbd7dc_a39da9_9b58e52a.png,dbd7dc,"[219, 215, 220]","[86.42, 2.27, -1.98]",a39da9,"[163, 157, 169]","[65.57, 4.48, -5.46]",0.2126,0.1004,11.9737,3.0014,1.0,0.1383,0.6484,2.2906,analogous,playful,2026-01-03,19:24:16
a0c998f9,7f7568_52362a_a0c998f9.png,https://cdn.jsdelivr.net/gh/dduyg/sandbox@main/glyphs/7f7568_52362a_a0c998f9.png,7f7568,"[127, 117, 104]","[49.78, 1.53, 8.56]",52362a,"[82, 54, 42]","[25.56, 10.87, 12.6]",0.2627,0.1848,16.2292,2.9605,0.9065,0.3044,0.9986,3.2824,analogous,dramatic,2026-01-03,19:24:16
8f31d974,e2e4de_adaea8_8f31d974.png,https://cdn.jsdelivr.net/gh/dduyg/sandbox@main/glyphs/e2e4de_adaea8_8f31d974.png,e2e4de,"[226, 228, 222]","[90.29, -1.73, 2.68]",adaea8,"[173, 174, 168]","[70.86, -1.46, 2.94]",0.1943,0.0962,13.3561,2.7494,0.8889,0.2643,0.8357,0.4982,analogous,playful,2026-01-03,19:24:17
