"category","technique","description","tools","tool_icons"
"Ingestion","Batch Ingestion","Periodic loading of large datasets","Apache Sqoop;AWS Glue;Airflow","http://cdn.simpleicons.org/apache http://cdn.simpleicons.org/amazonwebservices http://cdn.simpleicons.org/apacheairflow"
"Ingestion","Real-time Streaming","Continuous ingestion of event data","Apache Kafka;Amazon Kinesis;Apache Pulsar","http://cdn.simpleicons.org/apachekafka http://cdn.simpleicons.org/amazonwebservices http://cdn.simpleicons.org/apachepulsar"
"Ingestion","Change Data Capture (CDC)","Capturing incremental DB changes","Debezium;AWS DMS;Oracle GoldenGate","http://cdn.simpleicons.org/debezium http://cdn.simpleicons.org/amazonwebservices http://cdn.simpleicons.org/oracle"
"Ingestion","Log-based Ingestion","Extracting system/application logs","Fluentd;Logstash;Filebeat","http://cdn.simpleicons.org/fluentd http://cdn.simpleicons.org/elastic http://cdn.simpleicons.org/elastic"
"Ingestion","API-based Ingestion","Pulling data from external APIs","REST APIs;GraphQL;Custom connectors","http://cdn.simpleicons.org/graphql"
"Ingestion","Web Scraping","Extracting data from websites","BeautifulSoup;Scrapy;Selenium","http://cdn.simpleicons.org/scrapy http://cdn.simpleicons.org/selenium"
"Ingestion","Event-driven Ingestion","Trigger-based data capture","Kafka Streams;AWS Lambda;Event triggers","http://cdn.simpleicons.org/apachekafka http://cdn.simpleicons.org/amazonaws http://cdn.simpleicons.org/amazonaws"
"Storage","Data Warehousing","Structured analytical storage","Snowflake;BigQuery;Redshift","http://cdn.simpleicons.org/snowflake http://cdn.simpleicons.org/googlebigquery http://cdn.simpleicons.org/amazonredshift"
"Storage","Data Lakes","Raw and semi-structured storage","S3;Azure Data Lake;HDFS","http://cdn.simpleicons.org/amazonaws http://cdn.simpleicons.org/microsoftazure http://cdn.simpleicons.org/apachehadoop"
"Storage","Data Lakehouse","Hybrid warehouse + lake","Delta Lake;Apache Iceberg;Apache Hudi","http://cdn.simpleicons.org/databricks http://cdn.simpleicons.org/apache http://cdn.simpleicons.org/apache"
"Storage","Columnar Storage","Efficient analytical column storage","Parquet;ORC",""
"Storage","Row-based Storage","Transactional storage","MySQL;PostgreSQL","http://cdn.simpleicons.org/mysql http://cdn.simpleicons.org/postgresql"
"Storage","NoSQL Storage","Schema-flexible storage","MongoDB;Cassandra;DynamoDB","http://cdn.simpleicons.org/mongodb http://cdn.simpleicons.org/apachecassandra http://cdn.simpleicons.org/amazonaws"
"Storage","Time-series Storage","Time-indexed optimized storage","InfluxDB;TimescaleDB","http://cdn.simpleicons.org/influxdb http://cdn.simpleicons.org/timescale"
"Processing","Batch Processing","Large-scale periodic computation","Apache Spark;Hadoop MapReduce","http://cdn.simpleicons.org/apachespark http://cdn.simpleicons.org/apachehadoop"
"Processing","Stream Processing","Real-time processing","Apache Flink;Kafka Streams","http://cdn.simpleicons.org/apacheflink http://cdn.simpleicons.org/apachekafka"
"Processing","Micro-batching","Hybrid streaming model","Spark Structured Streaming","http://cdn.simpleicons.org/apachespark"
"Processing","In-memory Processing","RAM-based computation","Spark;Apache Ignite","http://cdn.simpleicons.org/apachespark"
"Processing","Distributed Processing","Horizontal scaling","Hadoop;Spark","http://cdn.simpleicons.org/apachehadoop http://cdn.simpleicons.org/apachespark"
"Processing","Serverless Processing","On-demand execution","AWS Lambda;Google Cloud Functions","http://cdn.simpleicons.org/awslambda http://cdn.simpleicons.org/googlecloud"
