title,category,mood,style,tags
"Plastic B Side",Atmospheric,Nostalgic,Casual,"[""retro"", ""analog"", ""flip-side"", ""material""]"
"Moral Switch On",Technical,Analytical,Formal,"[""ethics"", ""binary"", ""system"", ""toggle""]"
"Data Realities",Technical,Analytical,Creative,"[""data"", ""truth"", ""system"", ""perception""]"
"gaps in our knowledge",Institutional,Melancholic,Minimalist,"[""epistemology"", ""loss"", ""archive"", ""void""]"
"lonely shadow",Atmospheric,Melancholic,Casual,"[""solitude"", ""night"", ""absence"", ""echo""]"
"search automated",Technical,Analytical,Glitch,"[""query"", ""machine"", ""algorithm"", ""loop""]"
"digital empathy",Hybrid,Empathetic,Creative,"[""connection"", ""data"", ""human"", ""emotion""]"
"eye tree",Atmospheric,Mysterious,Creative,"[""nature"", ""vision"", ""surreal"", ""organic""]"
"loop display",Technical,Analytical,Glitch,"[""loop"", ""render"", ""screen"", ""recursive""]"
"Time that flows",Atmospheric,Melancholic,Creative,"[""time"", ""river"", ""passage"", ""drift""]"
"building build",Technical,Analytical,Formal,"[""compile"", ""structure"", ""code"", ""construct""]"
"predetermined void",Hybrid,Eerie,Minimalist,"[""fate"", ""emptiness"", ""system"", ""void""]"
"fly away",Atmospheric,Dreamy,Casual,"[""escape"", ""flight"", ""freedom"", ""nostalgia""]"
"Gemini Air",Technical,Mysterious,Creative,"[""AI"", ""dual"", ""cloud"", ""future""]"
"cherry opposite",Atmospheric,Dreamy,Creative,"[""contrast"", ""pastel"", ""surreal"", ""color""]"
"progress tunnels",Technical,Analytical,Professional,"[""pipeline"", ""progress"", ""data"", ""flow""]"
"Icecream Highway",Atmospheric,Nostalgic,Casual,"[""retro"", ""summer"", ""road"", ""sweet""]"
"cringed space",Atmospheric,Eerie,Glitch,"[""liminal"", ""awkward"", ""void"", ""signal""]"
"Data Consumption",Technical,Analytical,Formal,"[""data"", ""hunger"", ""input"", ""system""]"
"shape recognition",Technical,Analytical,Professional,"[""computer-vision"", ""geometry"", ""AI"", ""pattern""]"
"Feature extraction",Technical,Analytical,Formal,"[""ML"", ""data"", ""signal"", ""algorithm""]"
"selection shield",Technical,Mysterious,Creative,"[""filter"", ""protection"", ""bias"", ""system""]"
"Geometric Lullaby",Atmospheric,Dreamy,Creative,"[""geometry"", ""soft"", ""math"", ""soothing""]"
"follow the highway",Atmospheric,Nostalgic,Casual,"[""road"", ""travel"", ""retro"", ""drift""]"
"city lights calling",Atmospheric,Nostalgic,Creative,"[""urban"", ""night"", ""longing"", ""neon""]"
"waterfront dining",Atmospheric,Dreamy,Casual,"[""liminal"", ""water"", ""memory"", ""space""]"
"Aesthetic Thoughts",Creative,Dreamy,Creative,"[""vaporwave"", ""idea"", ""beauty"", ""mind""]"
"Summer Night",Atmospheric,Nostalgic,Casual,"[""summer"", ""night"", ""warmth"", ""retro""]"
"Diett Colaa - now you're alone",Atmospheric,Melancholic,Glitch,"[""retro"", ""solitude"", ""branding"", ""vaporwave""]"
"Hungry Ghost",Atmospheric,Eerie,Creative,"[""spirit"", ""longing"", ""void"", ""haunted""]"
"AZENXIO - Night Bytes",Technical,Mysterious,Glitch,"[""cyber"", ""night"", ""data"", ""signal""]"
"Subliminal Romance",Creative,Dreamy,Creative,"[""subconscious"", ""love"", ""soft"", ""vaporwave""]"
"Aesthetic Visual Garden",Atmospheric,Dreamy,Creative,"[""beauty"", ""nature"", ""pastel"", ""vaporwave""]"
"Revisited",Atmospheric,Melancholic,Minimalist,"[""memory"", ""return"", ""loop"", ""nostalgia""]"
"Computational geometry",Technical,Analytical,Formal,"[""math"", ""algorithm"", ""geometry"", ""code""]"
"Random thoughts flow",Creative,Dreamy,Casual,"[""stream"", ""consciousness"", ""random"", ""mind""]"
"Rich Text Format",Technical,Nostalgic,Glitch,"[""retro"", ""format"", ""document"", ""legacy""]"
"Remembering the future",Hybrid,Melancholic,Creative,"[""memory"", ""time"", ""future"", ""paradox""]"
"Osmosis; a usually effortless often unconscious assimilation.",Institutional,Analytical,Formal,"[""definition"", ""process"", ""absorption"", ""quiet""]"
"Digital Water Gaho",Hybrid,Dreamy,Creative,"[""digital"", ""water"", ""flow"", ""art""]"
"Digital Air",Atmospheric,Dreamy,Minimalist,"[""cloud"", ""breath"", ""digital"", ""light""]"
"The Captive Mind",Institutional,Melancholic,Formal,"[""control"", ""thought"", ""system"", ""freedom""]"
"Midnight's Breeze",Atmospheric,Dreamy,Casual,"[""night"", ""wind"", ""soft"", ""quiet""]"
"Data loss",Technical,Melancholic,Minimalist,"[""error"", ""data"", ""void"", ""broken""]"
"Next Century Love",Hybrid,Dreamy,Creative,"[""future"", ""love"", ""retro-futurism"", ""hope""]"
"instant gossip network",Institutional,Eerie,Glitch,"[""network"", ""signal"", ""rumor"", ""social""]"
"death's dynamic shroud.wmv",Atmospheric,Eerie,Glitch,"[""vaporwave"", ""vhs"", ""decay"", ""haunted""]"
"Begin Today's Session?",Technical,Mysterious,Glitch,"[""boot"", ""prompt"", ""system"", ""liminal""]"
"the tower rises ever higher",Atmospheric,Suspenseful,Cinematic,"[""architecture"", ""ascent"", ""power"", ""vertical""]"
"Labyrinth Cadence",Hybrid,Mysterious,Creative,"[""maze"", ""rhythm"", ""pattern"", ""journey""]"
"EMPTY HALLS (夜)",Atmospheric,Melancholic,Minimalist,"[""liminal"", ""night"", ""silence"", ""japan""]"
"The Lunar Curtain",Atmospheric,Mysterious,Cinematic,"[""moon"", ""veil"", ""night"", ""space""]"
"Fluoxetine MARBLE COLUMNS",Hybrid,Melancholic,Glitch,"[""pharma"", ""architecture"", ""surreal"", ""vaporwave""]"
"Last Minutes of the Memory",Atmospheric,Melancholic,Cinematic,"[""time"", ""memory"", ""ending"", ""loss""]"
"Tear in Abyss",Atmospheric,Melancholic,Creative,"[""void"", ""emotion"", ""depth"", ""darkness""]"
"Nowhere Girls 夕日",Atmospheric,Nostalgic,Creative,"[""japan"", ""sunset"", ""drifting"", ""feminine""]"
"Kingdom Of One V",Institutional,Mysterious,Cinematic,"[""solitude"", ""power"", ""isolation"", ""reign""]"
"Time & Place Finale",Atmospheric,Melancholic,Cinematic,"[""ending"", ""memory"", ""space"", ""time""]"
"Everfrost Peaks Saturation",Atmospheric,Eerie,Glitch,"[""cold"", ""overload"", ""landscape"", ""digital""]"
"Profane Angelic Function",Hybrid,Mysterious,Creative,"[""duality"", ""sacred"", ""code"", ""surreal""]"
"Transcendence Bot",Technical,Mysterious,Glitch,"[""AI"", ""spiritual"", ""cyber"", ""ascent""]"
"DOKI DOKI ENTROPY ~☗✧心死✧☗~",Hybrid,Eerie,Glitch,"[""entropy"", ""japan"", ""emotion"", ""cyber""]"
"SENESCENCE AURA PHASE 聖痕",Atmospheric,Melancholic,Glitch,"[""decay"", ""aura"", ""japan"", ""sacred""]"
"strange colony (奇妙なコロニー)",Institutional,Eerie,Creative,"[""colony"", ""strange"", ""japan"", ""system""]"
"Flatland Daeho",Technical,Analytical,Formal,"[""geometry"", ""dimension"", ""flat"", ""code""]"
"Tree Shaking",Technical,Analytical,Professional,"[""optimization"", ""code"", ""pruning"", ""build""]"
"coherence; the quality of being logical and consistent.",Institutional,Analytical,Formal,"[""definition"", ""logic"", ""system"", ""clarity""]"
"validity: the quality of being logically or factually sound; soundness or cogency.",Institutional,Analytical,Formal,"[""definition"", ""logic"", ""soundness"", ""truth""]"
"two facing pages",Creative,Melancholic,Minimalist,"[""book"", ""mirror"", ""duality"", ""text""]"
"counterbalance/ counterbalances",Technical,Analytical,Formal,"[""balance"", ""system"", ""force"", ""equilibrium""]"
"Artificially intelligent",Technical,Mysterious,Creative,"[""AI"", ""irony"", ""machine"", ""intelligence""]"
"THE BRAIN INVADES THE CITY",Hybrid,Eerie,Glitch,"[""surreal"", ""urban"", ""neural"", ""invasion""]"
"bodyline-tonal pillow",Atmospheric,Dreamy,Minimalist,"[""soft"", ""form"", ""rest"", ""body""]"
"Diskette Webscapes",Technical,Nostalgic,Creative,"[""retro"", ""diskette"", ""web"", ""landscape""]"
"Lost Traveler - Technological break",Hybrid,Melancholic,Casual,"[""travel"", ""tech"", ""lost"", ""pause""]"
"Computer Dreams - Late Night",Technical,Dreamy,Casual,"[""computer"", ""night"", ""dream"", ""retro""]"
